RegionName,City,Metro,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,growth5yr
75216,Dallas,Dallas-Fort Worth-Arlington,53352.0,53868.0,54211.0,54347.0,54368.0,54096.0,54092.0,54266.0,54591.0,54724.0,54673.0,54736.0,55403.0,56530.0,57859.0,59058.0,60141.0,60858.0,61430.0,62014.0,62806.0,64010.0,65847.0,67529.0,68195.0,68257.0,68204.0,68901.0,69625.0,70727.0,72045.0,73629.0,75082.0,76674.0,77995,79403,81017,83536,86438,89464,92192,95025,96873,98679,100183,101826,103689,105759,108151,109705,111230,112312,113873,115341,117732,120073,122824,125318,127701,130018,1.436984555405608
75226,Dallas,Dallas-Fort Worth-Arlington,113238.0,116164.0,119562.0,123550.0,127292.0,129986.0,131829.0,133207.0,135950.0,139968.0,144285.0,147923.0,150943.0,155146.0,159290.0,163564.0,167728.0,173565.0,178804.0,183568.0,185215.0,184278.0,182698.0,182272.0,183696.0,184969.0,186067.0,188349.0,190915.0,193915.0,196768.0,200630.0,204635.0,208574.0,213289,218072,223464,227072,231421,235255,239137,238916,238353,237353,239958,244237,247801,250546,251513,253626,255354,256599,257564,261018,264914,268522,269731,270038,270456,271087,1.3939578586693513
30315,Atlanta,Atlanta-Sandy Springs-Roswell,71538.0,72714.0,73629.0,74431.0,74956.0,75601.0,76607.0,76762.0,76538.0,76632.0,77896.0,80186.0,82366.0,84014.0,85095.0,85505.0,86160.0,86378.0,87165.0,88656.0,90655.0,92800.0,94076.0,94585.0,94314.0,94240.0,94645.0,95787.0,97136.0,99696.0,101952.0,104546.0,107126.0,108599.0,110108,111721,115512,119223,122699,125644,128535,131462,134357,136929,139018,140961,142744,144783,146447,148569,150218,152134,153950,155060,156239,157286,158660,160835,163337,165721,1.3165450529788365
43206,Columbus,Columbus,85523.0,85853.0,86088.0,86496.0,87244.0,88243.0,89154.0,90144.0,90765.0,91305.0,91457.0,91963.0,93091.0,94262.0,95244.0,96216.0,97715.0,99297.0,100620.0,101353.0,102328.0,103821.0,106069.0,108198.0,109802.0,110897.0,112563.0,114026.0,115540.0,116918.0,119299.0,122331.0,125648.0,128468.0,130190,131931,133943,137003,139840,143459,147319,150777,153356,155564,157662,159803,162354,165545,168660,171561,174111,176182,177900,180128,182619,185234,187714,190341,193123,195342,1.284087321539235
98421,Tacoma,Seattle-Tacoma-Bellevue,133730.0,134995.0,134850.0,134770.0,134217.0,135001.0,136125.0,138108.0,139503.0,141619.0,144526.0,146502.0,148287.0,149912.0,153314.0,156831.0,160747.0,163503.0,165423.0,166760.0,167910.0,168428.0,169858.0,171725.0,172624.0,173906.0,175042.0,179010.0,181774.0,184257.0,186623.0,191376.0,196328.0,200706.0,203061,206739,211369,214516,216893,217142,220205,222456,226344,229638,234268,239256,243198,246015,248824,253360,258837,264499,268636,274340,279269,283665,287247,291513,298216,305387,1.2836087639273162
75217,Dallas,Dallas-Fort Worth-Arlington,64522.0,65644.0,66824.0,68230.0,69180.0,70424.0,71518.0,73067.0,74587.0,76329.0,77843.0,79661.0,81171.0,82446.0,83810.0,85470.0,87756.0,89981.0,92236.0,93976.0,95563.0,95923.0,96609.0,97428.0,99246.0,100902.0,102343.0,103630.0,104667.0,105388.0,106311.0,107733.0,109511.0,111258.0,113033,114677,116425,118779,121176,123382,125160,126267,128209,129758,132183,133506,134874,135950,136950,137371,137821,138382,139289,140926,141688,142530,142410,143519,144443,145580,1.2562846780942933
75223,Dallas,Dallas-Fort Worth-Arlington,89484.0,91668.0,93980.0,97157.0,100680.0,103675.0,105262.0,106239.0,107245.0,108761.0,110236.0,111651.0,113622.0,116499.0,120451.0,124498.0,128527.0,132267.0,136291.0,140758.0,144717.0,148322.0,151808.0,155235.0,157610.0,159145.0,159465.0,159507.0,159278.0,160739.0,163003.0,166417.0,170023.0,172971.0,175874,178508,182073,184142,186575,188542,190040,189114,187195,184743,183467,183775,184990,186327,186835,188107,189446,191050,192908,195547,198304,200625,201945,202304,201909,201469,1.251452773680211
91108,San Marino,Los Angeles-Long Beach-Anaheim,1048090.0,1063476.0,1080509.0,1104028.0,1126157.0,1145866.0,1165616.0,1184603.0,1208721.0,1227681.0,1248304.0,1265887.0,1293779.0,1318632.0,1342689.0,1361388.0,1382091.0,1407628.0,1432203.0,1452766.0,1471332.0,1495805.0,1516908.0,1536154.0,1550324.0,1572313.0,1595621.0,1620362.0,1645004.0,1670081.0,1695081.0,1721937.0,1748976.0,1774915.0,1802996,1836739,1858172,1875955,1882191,1898447,1912796,1927965,1944732,1960246,1975584,1992018,2002792,2015056,2035798,2060925,2092867,2117800,2144557,2169944,2195451,2223419,2253340,2283083,2318960,2352497,1.2445562881050292
33711,Saint Petersburg,Tampa-St. Petersburg-Clearwater,71563.0,71430.0,71870.0,72688.0,73494.0,74394.0,74934.0,76427.0,77871.0,79737.0,80931.0,82386.0,83350.0,84795.0,85944.0,87195.0,88336.0,89877.0,91698.0,93264.0,94880.0,95449.0,96409.0,97445.0,99449.0,101376.0,103221.0,105247.0,107703.0,109612.0,111034.0,112546.0,114207.0,116988.0,120449,124170,127447,130092,132976,135397,138045,140504,143223,145121,147061,148326,148853,148714,148828,149106,149510,150140,150379,151034,151741,153117,154375,155797,157379,159365,1.2269189385576345
77011,Houston,Houston-The Woodlands-Sugar Land,79650.0,80907.0,82088.0,83163.0,84133.0,84816.0,85793.0,86054.0,86561.0,87012.0,88302.0,89092.0,89311.0,89745.0,90884.0,92827.0,94894.0,97242.0,99245.0,101741.0,103288.0,104206.0,104647.0,105457.0,106931.0,107467.0,107595.0,107505.0,108999.0,110743.0,113051.0,114336.0,116766.0,119718.0,123230,126800,130253,133799,137706,141202,142784,143008,142753,144534,145867,147910,148098,149178,149869,151964,153322,155022,157283,160535,164008,166483,169004,170951,174458,177321,1.2262523540489643
